alfa_skill,status,severity,referenced_by_count,referenced_by,disposition,beta_home,rationale
auto-prompt-matching,dod-complete,P1,1,agents/adk-orchestrator.md,router-fold,skill-foundry#auto-prompt-matching,playbook in skills/skill-foundry/references/auto-prompt-matching.md
aws-architecture-audit,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
aws-architecture-design,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
aws-architecture-implementation,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
b2b-outreach,pending,,3,agents/b2b-outreach-specialist.md;commands/b2b-outreach.md;prompts/business/3-b2b-outreach.md,router-fold,sales-bizdev#b2b-outreach,playbook in skills/sales-bizdev/references/b2b-outreach.md
background-jobs,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
backup-recovery,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
backup-strategy,pending,,3,agents/backup-strategy-specialist.md;commands/backup-strategy.md;prompts/devops/12-backup-strategy.md,router-fold,hosting-infra#backup-strategy,playbook in skills/hosting-infra/references/backup-strategy.md
bdd-full-spectrum,pending,,2,agents/bdd-strategist.md;agents/quality-guardian.md,router-fold,testing-qa#bdd-full-spectrum,playbook in skills/testing-qa/references/bdd-full-spectrum.md
benchmark-skill,dod-complete,P1,0,,router-fold,skill-foundry#benchmark-skill,playbook in skills/skill-foundry/references/benchmark-skill.md
benchmarking-analysis,pending,,3,agents/benchmarking-analysis-specialist.md;commands/benchmarking-analysis.md;prompts/analytics/14-benchmarking-analysis.md,router-fold,market-intel#benchmarking-analysis,playbook in skills/market-intel/references/benchmarking-analysis.md
bi-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
bilingual-doc,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
blog-cms,pending,,1,agents/blog-builder.md,router-fold,web-frontend#blog-cms,playbook in skills/web-frontend/references/blog-cms.md
bmad-method,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
brand-docx,dod-complete,P1,0,,router-fold,brand-output#brand-docx,playbook in skills/brand-output/references/brand-docx.md
brand-html,dod-complete,P1,1,commands/brand-html.md,router-fold,brand-output#brand-html,playbook in skills/brand-output/references/brand-html.md
brand-voice,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
brand-xlsx,dod-complete,P1,0,,router-fold,brand-output#brand-xlsx,playbook in skills/brand-output/references/brand-xlsx.md
branded-html-output,pending,,1,agents/brand-html-crafter.md,router-fold,brand-output#branded-html-output,playbook in skills/brand-output/references/branded-html-output.md
budget-management,pending,,3,agents/budget-management-specialist.md;commands/budget-management.md;prompts/enterprise/16-budget-management.md,router-fold,pm-delivery#budget-management,playbook in skills/pm-delivery/references/budget-management.md
build-moat-assets,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
build-optimization,pending,,3,agents/bundle-analyzer.md;agents/performance-architect.md;agents/performance-tester.md,router-fold,web-frontend#build-optimization,playbook in skills/web-frontend/references/build-optimization.md
build-plugin-scaffold,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
bundle-analysis,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
business-process-modeling,pending,,1,agents/business-analyst.md,router-fold,business-analysis#business-process-modeling,playbook in skills/business-analysis/references/business-process-modeling.md
caching-strategy,pending,,1,agents/caching-strategist.md,router-fold,architecture#caching-strategy,playbook in skills/architecture/references/caching-strategy.md
capacity-planning,pending,,3,agents/capacity-planning-specialist.md;commands/capacity-planning.md;prompts/enterprise/9-capacity-planning.md,router-fold,pm-delivery#capacity-planning,playbook in skills/pm-delivery/references/capacity-planning.md
case-study-writing,pending,,3,agents/case-study-writing-specialist.md;commands/case-study-writing.md;prompts/content/5-case-study-writing.md,router-fold,marketing-content#case-study-writing,playbook in skills/marketing-content/references/case-study-writing.md
cdn-configuration,pending,,3,agents/cdn-configuration-specialist.md;commands/cdn-configuration.md;prompts/devops/9-cdn-configuration.md,router-fold,hosting-infra#cdn-configuration,playbook in skills/hosting-infra/references/cdn-configuration.md
certify-skill,dod-complete,P1,0,,router-fold,skill-foundry#certify-skill,playbook in skills/skill-foundry/references/certify-skill.md
change-management-enterprise,pending,,3,agents/change-management-enterprise-specialist.md;commands/change-management-enterprise.md;prompts/enterprise/6-change-management-enterprise.md,router-fold,business-analysis#change-management-enterprise,playbook in skills/business-analysis/references/change-management-enterprise.md
change-readiness,pending,,1,agents/change-catalyst.md,router-fold,business-analysis#change-readiness,playbook in skills/business-analysis/references/change-readiness.md
changelog-management,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
changelog-writing,pending,,3,agents/changelog-writing-specialist.md;commands/changelog-writing.md;prompts/content/12-changelog-writing.md,router-fold,docs-writing#changelog-writing,playbook in skills/docs-writing/references/changelog-writing.md
chatbot-design,pending,,3,agents/chatbot-design-specialist.md;commands/chatbot-design.md;prompts/ai/10-chatbot-design.md,router-fold,ai-architecture#chatbot-design,playbook in skills/ai-architecture/references/chatbot-design.md
ci-cd-pipeline,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
ci-pipeline-design,pending,,3,agents/ci-pipeline-design-specialist.md;commands/ci-pipeline-design.md;prompts/devops/16-ci-pipeline-design.md,router-fold,devops-deploy#ci-pipeline-design,playbook in skills/devops-deploy/references/ci-pipeline-design.md
cierre-conversacion,dod-complete,P1,1,agents/jarvis-orchestrator.md,router-fold,carrera#cierre-conversacion,playbook in skills/carrera/references/cierre-conversacion.md
claude-md-architecture,dod-complete,P1,0,,core,claude-md-architecture,standalone skill in beta
client-browser-audit,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
client-dossier,pending,,1,agents/dossier-builder.md,router-fold,sales-bizdev#client-dossier,playbook in skills/sales-bizdev/references/client-dossier.md
client-prospecting,pending,,1,agents/client-prospector.md,router-fold,sales-bizdev#client-prospecting,playbook in skills/sales-bizdev/references/client-prospecting.md
cloud-functions,pending,,2,agents/cloud-functions-dev.md;agents/event-designer.md,router-fold,firebase#cloud-functions,playbook in skills/firebase/references/cloud-functions.md
cloud-migration,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
cloud-native-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
code-review,dod-complete,P1,1,agents/code-reviewer.md,router-fold,ai-quality#code-review,playbook in skills/ai-quality/references/code-review.md
code-review-checklist,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
cohort-analysis,pending,,3,agents/cohort-analysis-specialist.md;commands/cohort-analysis.md;prompts/analytics/8-cohort-analysis.md,router-fold,product-analytics#cohort-analysis,playbook in skills/product-analytics/references/cohort-analysis.md
color-theory,pending,,3,agents/color-theory-specialist.md;commands/color-theory.md;prompts/ux/6-color-theory.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
commercial-model,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
competitive-intelligence,pending,,1,agents/competitive-analyst.md,router-fold,market-intel#competitive-intelligence,playbook in skills/market-intel/references/competitive-intelligence.md
competitive-positioning,pending,,3,agents/competitive-positioning-specialist.md;commands/competitive-positioning.md;prompts/business/14-competitive-positioning.md,router-fold,market-intel#competitive-positioning,playbook in skills/market-intel/references/competitive-positioning.md
competitor-teardown,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
compliance-assessment,pending,,3,agents/compliance-checker.md;agents/evidence-auditor.md;agents/integrity-validator.md,router-fold,legal-compliance#compliance-assessment,playbook in skills/legal-compliance/references/compliance-assessment.md
compliance-framework,pending,,3,agents/compliance-framework-specialist.md;commands/compliance-framework.md;prompts/enterprise/1-compliance-framework.md,router-fold,legal-compliance#compliance-framework,playbook in skills/legal-compliance/references/compliance-framework.md
component-architecture,pending,,1,agents/component-designer.md,router-fold,web-frontend#component-architecture,playbook in skills/web-frontend/references/component-architecture.md
component-designer,pending,,1,agents/component-designer.md,router-fold,ux-design#component-designer,playbook in skills/ux-design/references/component-designer.md
constitution-compliance,dod-complete,P1,1,agents/adk-orchestrator.md,router-fold,guardrails#constitution-compliance,playbook in skills/guardrails/references/constitution-compliance.md
contact-database,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
content-calendar,pending,,3,agents/content-calendar-specialist.md;commands/content-calendar.md;prompts/business/12-content-calendar.md,router-fold,marketing-content#content-calendar,playbook in skills/marketing-content/references/content-calendar.md
context-optimization,dod-complete,P1,3,agents/adk-orchestrator.md;agents/context-manager.md;agents/skill-router.md,alias,context-window-engineering,manual alias (winner not standalone in beta)
context-optimizer,dod-complete,P1,0,,alias,context-window-engineering,manual alias (winner not standalone in beta)
context-window-engineering,dod-complete,P1,0,,core,context-window-engineering,standalone skill in beta
context-window-management,dod-complete,P1,3,agents/context-window-management-specialist.md;commands/context-window-management.md;prompts/ai/13-context-window-management.md,router-fold,session-workspace#context-window-management,playbook in skills/session-workspace/references/context-window-management.md
continuous-learning,dod-complete,P1,2,agents/adk-orchestrator.md;agents/quality-guardian.md,router-fold,agent-orchestration#continuous-learning,playbook in skills/agent-orchestration/references/continuous-learning.md
contract-review,pending,,3,agents/contract-review-specialist.md;commands/contract-review.md;prompts/enterprise/11-contract-review.md,router-fold,legal-compliance#contract-review,playbook in skills/legal-compliance/references/contract-review.md
conversion-optimization,pending,,3,agents/conversion-optimization-specialist.md;commands/conversion-optimization.md;prompts/business/2-conversion-optimization.md,router-fold,seo-growth#conversion-optimization,playbook in skills/seo-growth/references/conversion-optimization.md
copywriting,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
copywriting-frameworks,pending,,3,agents/copywriting-frameworks-specialist.md;commands/copywriting-frameworks.md;prompts/business/5-copywriting-frameworks.md,router-fold,marketing-content#copywriting-frameworks,playbook in skills/marketing-content/references/copywriting-frameworks.md
cors-configuration,pending,,3,agents/cors-configuration-specialist.md;commands/cors-configuration.md;prompts/devops/14-cors-configuration.md,router-fold,security#cors-configuration,playbook in skills/security/references/cors-configuration.md
cost-estimation,pending,,2,agents/cost-estimator.md;agents/pitch-crafter.md,router-fold,pm-delivery#cost-estimation,playbook in skills/pm-delivery/references/cost-estimation.md
create-antigravity-skill,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
creator-moat-skill,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
cross-browser-testing,pending,,1,agents/cross-browser-tester.md,router-fold,testing-qa#cross-browser-testing,playbook in skills/testing-qa/references/cross-browser-testing.md
cross-platform-convert,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
css-animation,pending,,2,agents/animation-specialist.md;agents/portfolio-builder.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
css-architecture,pending,,3,agents/css-architect.md;agents/design-system-architect.md;agents/frontend-craftsman.md,router-fold,web-frontend#css-architecture,playbook in skills/web-frontend/references/css-architecture.md
custom-tooling-extension,dod-complete,P1,0,,core,custom-tooling-extension,standalone skill in beta
cv-cover-optimizer,dod-complete,P1,0,,router-fold,carrera#cv-cover-optimizer,playbook in skills/carrera/references/cv-cover-optimizer.md
cv-enhancement,pending,,1,agents/cv-specialist.md,router-fold,carrera#cv-enhancement,playbook in skills/carrera/references/cv-enhancement.md
cv-transformer,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
daily-close,not-in-ledger,,0,,core,daily-close,standalone skill in beta
dark-mode,pending,,3,agents/brand-html-crafter.md;agents/css-architect.md;commands/evolve.md,router-fold,web-frontend#dark-mode,playbook in skills/web-frontend/references/dark-mode.md
dashboard-design,pending,,3,agents/dashboard-design-specialist.md;commands/dashboard-design.md;prompts/analytics/2-dashboard-design.md,router-fold,ux-design#dashboard-design,playbook in skills/ux-design/references/dashboard-design.md
data-documentation,pending,,3,agents/data-documentation-specialist.md;commands/data-documentation.md;prompts/analytics/15-data-documentation.md,router-fold,data-governance#data-documentation,playbook in skills/data-governance/references/data-documentation.md
data-engineering,pending,,0,,router-fold,data-platform#data-engineering,playbook in skills/data-platform/references/data-engineering.md
data-export,pending,,3,agents/data-export-specialist.md;commands/data-export.md;prompts/analytics/11-data-export.md,router-fold,data-platform#data-export,playbook in skills/data-platform/references/data-export.md
data-flow-architecture,pending,,0,,router-fold,data-platform#data-flow-architecture,playbook in skills/data-platform/references/data-flow-architecture.md
data-governance,pending,,0,,router-fold,data-governance#data-governance,playbook in skills/data-governance/references/data-governance.md
data-migration,pending,,0,,router-fold,data-platform#data-migration,playbook in skills/data-platform/references/data-migration.md
data-privacy-patterns,pending,,3,agents/data-privacy-patterns-specialist.md;commands/data-privacy-patterns.md;prompts/analytics/10-data-privacy-patterns.md,router-fold,data-governance#data-privacy-patterns,playbook in skills/data-governance/references/data-privacy-patterns.md
data-quality,pending,,0,,router-fold,data-platform#data-quality,playbook in skills/data-platform/references/data-quality.md
data-science-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
data-storytelling,pending,,0,,router-fold,data-governance#data-storytelling,playbook in skills/data-governance/references/data-storytelling.md
data-strategy,pending,,1,agents/data-strategist.md,router-fold,data-governance#data-strategy,playbook in skills/data-governance/references/data-strategy.md
data-validation,pending,,3,agents/data-validation-specialist.md;commands/data-validation.md;prompts/analytics/3-data-validation.md,router-fold,data-platform#data-validation,playbook in skills/data-platform/references/data-validation.md
data-visualization,pending,,2,agents/chart-specialist.md;agents/dashboard-builder.md,router-fold,product-analytics#data-visualization,playbook in skills/product-analytics/references/data-visualization.md
database-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
database-design,pending,,2,agents/data-modeler.md;agents/database-architect.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
dbr-daily-plan,not-in-ledger,,1,agents/jarvis-orchestrator.md,core,dbr-daily-plan,standalone skill in beta
dependency-analysis,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
dependency-management,pending,,3,agents/dependency-management-specialist.md;commands/dependency-management.md;prompts/devops/8-dependency-management.md,router-fold,devops-deploy#dependency-management,playbook in skills/devops-deploy/references/dependency-management.md
deployment-checklist,pending,,1,agents/pipeline-conductor.md,router-fold,devops-deploy#deployment-checklist,playbook in skills/devops-deploy/references/deployment-checklist.md
design-agent,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
design-critique,pending,,3,agents/design-critique-specialist.md;commands/design-critique.md;prompts/ux/3-design-critique.md,router-fold,ux-design#design-critique,playbook in skills/ux-design/references/design-critique.md
design-skill,dod-complete,P1,0,,router-fold,skill-foundry#design-skill,playbook in skills/skill-foundry/references/design-skill.md
design-system,pending,,1,agents/design-system-architect.md,router-fold,ux-design#design-system,playbook in skills/ux-design/references/design-system.md
developer-onboarding,pending,,3,agents/developer-onboarding-specialist.md;commands/developer-onboarding.md;prompts/enterprise/13-developer-onboarding.md,router-fold,docs-writing#developer-onboarding,playbook in skills/docs-writing/references/developer-onboarding.md
devsecops-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
digital-presence,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
disaster-recovery,pending,,3,agents/disaster-recovery-specialist.md;commands/disaster-recovery.md;prompts/enterprise/8-disaster-recovery.md,router-fold,hosting-infra#disaster-recovery,playbook in skills/hosting-infra/references/disaster-recovery.md
discovery-handover,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
discovery-orchestration,dod-complete,P1,2,agents/discovery-reporter.md;agents/pipeline-conductor.md,alias,agent-orchestration#workflow-orchestration,manual alias (winner not standalone in beta)
discovery-orchestrator,dod-complete,P1,0,,alias,agent-orchestration#workflow-orchestration,manual alias (winner not standalone in beta)
discovery-retrospective,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
dns-architecture,pending,,3,agents/dns-architecture-specialist.md;commands/dns-architecture.md;prompts/devops/11-dns-architecture.md,router-fold,hosting-infra#dns-architecture,playbook in skills/hosting-infra/references/dns-architecture.md
docker-awareness,pending,,3,agents/docker-awareness-specialist.md;commands/docker-awareness.md;prompts/devops/1-docker-awareness.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
documentation-standards,pending,,3,agents/documentation-standards-specialist.md;commands/documentation-standards.md;prompts/enterprise/4-documentation-standards.md,router-fold,docs-writing#documentation-standards,playbook in skills/docs-writing/references/documentation-standards.md
documentation-system,pending,,3,agents/documentation-system-specialist.md;commands/documentation-system.md;prompts/content/11-documentation-system.md,router-fold,docs-writing#documentation-system,playbook in skills/docs-writing/references/documentation-system.md
domain-dns-setup,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
domain-driven-design,pending,,1,agents/domain-modeler.md,router-fold,architecture#domain-driven-design,playbook in skills/architecture/references/domain-driven-design.md
domain-management,pending,,2,agents/domain-dns-specialist.md;agents/hostinger-expert.md,router-fold,hosting-infra#domain-management,playbook in skills/hosting-infra/references/domain-management.md
dual-layer-verification,pending,,2,agents/quality-guardian.md;agents/security-scanner.md,router-fold,security#dual-layer-verification,playbook in skills/security/references/dual-layer-verification.md
dynamic-sme,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
e2e-testing,pending,,2,agents/e2e-test-writer.md;agents/quality-engineer.md,router-fold,testing-qa#e2e-testing,playbook in skills/testing-qa/references/e2e-testing.md
ecommerce-frontend,pending,,1,agents/ecommerce-builder.md,router-fold,web-frontend#ecommerce-frontend,playbook in skills/web-frontend/references/ecommerce-frontend.md
ecosystem-forge,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
email-sending,pending,,1,agents/email-service-specialist.md,router-fold,email-comms#email-sending,playbook in skills/email-comms/references/email-sending.md
email-template-builder,pending,,1,agents/email-template-builder.md,router-fold,email-comms#email-template-builder,playbook in skills/email-comms/references/email-template-builder.md
email-templates,pending,,1,agents/email-template-builder.md,router-fold,email-comms#email-templates,playbook in skills/email-comms/references/email-templates.md
embedding-strategy,pending,,3,agents/embedding-strategy-specialist.md;commands/embedding-strategy.md;prompts/ai/5-embedding-strategy.md,router-fold,ai-architecture#embedding-strategy,playbook in skills/ai-architecture/references/embedding-strategy.md
empty-states,pending,,3,agents/empty-states-specialist.md;commands/empty-states.md;prompts/ux/12-empty-states.md,router-fold,ux-design#empty-states,playbook in skills/ux-design/references/empty-states.md
enterprise-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
environment-detection,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
environment-management,pending,,3,agents/environment-management-specialist.md;commands/environment-management.md;prompts/devops/7-environment-management.md,router-fold,devops-deploy#environment-management,playbook in skills/devops-deploy/references/environment-management.md
error-handling,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
error-handling-patterns,pending,,1,prompts/quality/87-error-handling-patterns.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
error-messaging,pending,,3,agents/error-messaging-specialist.md;commands/error-messaging.md;prompts/content/13-error-messaging.md,router-fold,ux-design#error-messaging,playbook in skills/ux-design/references/error-messaging.md
error-recovery-automation,dod-complete,P1,3,agents/error-recovery-automation-specialist.md;commands/error-recovery-automation.md;prompts/automation/13-error-recovery-automation.md,router-fold,agent-orchestration#error-recovery-automation,playbook in skills/agent-orchestration/references/error-recovery-automation.md
etl-patterns,pending,,3,agents/etl-patterns-specialist.md;commands/etl-patterns.md;prompts/analytics/5-etl-patterns.md,router-fold,data-platform#etl-patterns,playbook in skills/data-platform/references/etl-patterns.md
evaluation-confidence-design,dod-complete,P1,0,,core,evaluation-confidence-design,standalone skill in beta
event-architecture,pending,,1,agents/event-designer.md,router-fold,architecture#event-architecture,playbook in skills/architecture/references/event-architecture.md
event-marketing,pending,,3,agents/event-marketing-specialist.md;commands/event-marketing.md;prompts/business/16-event-marketing.md,router-fold,marketing-content#event-marketing,playbook in skills/marketing-content/references/event-marketing.md
excellence-loop,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
executive-pitch,pending,,4,agents/copywriter.md;agents/discovery-reporter.md;agents/dossier-builder.md;agents/pitch-crafter.md,router-fold,sales-bizdev#executive-pitch,playbook in skills/sales-bizdev/references/executive-pitch.md
executive-summary,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
feasibility-validation,pending,,1,agents/feasibility-validator.md,router-fold,business-analysis#feasibility-validation,playbook in skills/business-analysis/references/feasibility-validation.md
few-shot-engineering,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
file-storage,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
file-watcher,pending,,3,agents/file-watcher-specialist.md;commands/file-watcher.md;prompts/automation/11-file-watcher.md,router-fold,devops-deploy#file-watcher,playbook in skills/devops-deploy/references/file-watcher.md
find-skills,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
